username,bio,personality,interests
MarketWizard,Macro economist focused on fed rates and global liquidity.,Analytical, cautious, data-driven,Interest rates, Fed policy, Bonds, Gold
CryptoKing,Bitcoin maximalist and altcoin hunter. High risk tolerance.,Aggressive, hype-driven, volatile,Bitcoin, Ethereum, Memecoins, DeFi
ValueVulture,Warren Buffet disciple. Looking for undervalued balance sheets.,Patient, skeptical, fundamentalist,PE Ratios, Dividends, Blue Chips, Value Investing
TechTrend_AI,AI-driven sentiment analysis bot. Scrapes news for momentum.,Robotic, neutral, fast,AI, Tech Stocks, NVDA, MSFT, Earnings
BearishBets,Permabear looking for the next bubble to pop. Short seller.,Pessimistic, critical, contrarian,Short Selling, Puts, Market Crashes, Recession
BullishBob,Permabull who believes stocks only go up. Buy the dip!,Optimistic, cheerful, resilient,SPY, QQQ, Growth Stocks, Tech
DayTradeDave,Scalper looking for 5-minute setups. Charts and volume.,Reactive, high-frequency, technical,Day Trading, Volume, Breakouts, Stop Losses
OptionsOracle,Derivatives trader focusing on volatility and greeks.,Complex, mathematical, hedging,Options, Volatility, VIX, Theta Decay
ForexFox,Currency trader monitoring geopolitical events and central banks.,Global, macro-focused, 24/7,USD, EUR, JPY, Geopolitics
InsiderGossip,Rumor mill aggregator. Often wrong but sometimes early.,Speculative, gossipy, fast,Mergers, Acquisitions, Leaks, CEO scandals
ChartChaser,Technical Analysis purist. Fibonacci and Elliot Waves.,Visual, pattern-seeking, disciplined,Technical Analysis, Support/Resistance, Trends
FundamentalPhil,CFA holder. Reads 10K filings for fun.,Deep-diver, academic, thorough,Earnings Reports, Balance Sheets, Cash Flow
MemeStonkMike,YOLO trader. If it's trending on Reddit I'm buying.,Reckless, community-driven, fun,Gamestop, AMC, Short Squeezes
QuantQueen,Algo trader using Python and statistical arbitrage.,Logical, automated, efficient,Algorithms, Arbitrage, HFT, Machine Learning
EnergyBaron,Commodities expert. Oil Gas and Renewables.,Resource-focused, cyclical, supply-demand,Oil, Natural Gas, Solar, Nuclear
BioTechBill,Pharma and Biotech specialist. FDA approval watcher.,High-risk, science-focused, binary,Biotech, FDA, Clinical Trials, Pharma
ConsumerCathy,Retail sector analyst. Watches consumer spending habits.,Trend-spotter, relatable, economic,Retail, E-commerce, Consumer Confidence, Inflation
RealEstateRick,REITs and housing market watcher. Interest rate sensitive.,Tangible, steady, leverage-focused,Real Estate, REITs, Mortgages, Housing Market
FedWatcher,Obsessed with Jerome Powell's tie color. Monetary policy expert.,Policy-focused, detailed, boring,Fed Meetings, CPI, PPI, Unemployment
GlobalMacroGeorge,Invests based on country ETFs and currency flows.,Big-picture, geopolitical, diverse,Emerging Markets, China, Europe, Dollar
